행정구역(시군구)별,총인구수 (명)
종로구,145346
중구,122781
용산구,223713
성동구,287174
광진구,340814
동대문구,337538
중랑구,388218
성북구,432081
강북구,300278
도봉구,318299
노원구,512129
은평구,473369
서대문구,305840
마포구,369695
양천구,448634
강서구,575370
구로구,397330
금천구,230740
영등포구,377524
동작구,386246
관악구,487357
서초구,415083
강남구,533878
송파구,659239
강동구,463752
중구,40676
서구,105557
동구,87705
영도구,111111
부산진구,354428
동래구,266912
남구,263236
북구,283766
해운대구,397516
사하구,306605
금정구,229148
강서구,142444
연제구,205607
수영구,175583
사상구,209138
기장군,176879
중구,74682
동구,340575
서구,165862
남구,144119
북구,436499
수성구,418833
달서구,547340
달성군,262811
중구,142618
중구영종출장소,0
중구용유출장소,0
동구,61977
미추홀구,406789
연수구,389926
남동구,518662
부평구,488092
계양구,294852
서구,552338
서구검단출장소,0
강화군,69351
옹진군,20404
동구,103443
서구,291705
남구,215043
북구,427684
광산구,404579
동구,223384
중구,231852
서구,474046
유성구,350284
대덕구,174662
중구,213579
남구,314706
동구,154501
북구,217750
울주군,222030
세종시,368276
수원시,1185276
장안구,273854
권선구,364416
팔달구,182600
영통구,364406
성남시,931319
수정구,235980
중원구,212478
분당구,482861
의정부시,463665
안양시,547258
만안구,239203
동안구,308055
부천시,808047
광명시,294458
평택시,559363
송탄출장소,0
안중출장소,0
동두천시,93508
안산시,654117
상록구,351747
단원구,302370
고양시,1080240
덕양구,481840
일산동구,299757
일산서구,298643
과천시,69910
구리시,193014
남양주시,729918
풍양출장소,0
오산시,230403
시흥시,511888
군포시,269215
의왕시,163704
하남시,314866
용인시,1079609
처인구,261166
기흥구,442335
수지구,376108
파주시,479183
이천시,224066
안성시,189732
김포시,485859
화성시,881154
화성시동부출장소,0
화성시동탄출장소,0
광주시,386496
양주시,236205
포천시,148618
여주시,112260
연천군,42797
가평군,62241
양평군,121188
춘천시,283803
원주시,356625
강릉시,213155
동해시,90115
태백시,41055
속초시,82579
삼척시,63833
홍천군,68499
횡성군,46586
영월군,38011
평창군,41006
정선군,35659
철원군,43489
화천군,24247
양구군,21925
인제군,32090
고성군,27014
양양군,28026
청주시,848878
서원구,192953
청원구,194342
상당구,193772
흥덕구,267811
충주시,209499
제천시,131902
보은군,31863
옥천군,50194
영동군,45938
증평군,36371
진천군,85051
괴산군,36843
음성군,92004
단양군,28405
당진시,166802
천안시,658107
동남구,255504
서북구,402603
공주시,103321
보령시,98535
아산시,323789
서산시,176595
논산시,114769
계룡시,43093
금산군,50597
부여군,63923
서천군,50884
청양군,30399
홍성군,99407
예산군,76974
태안군,61782
전주시,658216
완산구,337186
덕진구,321030
전주시효자출장소,0
군산시,265504
익산시,278798
익산시함열출장소,0
정읍시,106814
남원시,79649
김제시,81106
완주군,91093
진안군,24941
무주군,23769
장수군,21731
임실군,26717
순창군,26980
고창군,53534
부안군,50918
목포시,219150
여수시,277008
순천시,281787
나주시,116711
광양시,150154
담양군,46198
곡성군,27616
구례군,25121
고흥군,62930
보성군,39564
화순군,62598
장흥군,36701
강진군,33860
해남군,67425
영암군,53000
무안군,90488
함평군,31379
영광군,52113
장성군,43553
완도군,48861
진도군,30110
신안군,38326
포항시,503179
남구,230407
북구,272772
경주시,252403
김천시,140149
안동시,157317
구미시,413366
영주시,101929
영천시,101681
상주시,95677
문경시,71223
경산시,268431
군위군,22894
의성군,50739
청송군,24605
영양군,16330
영덕군,35497
청도군,41736
고령군,30694
성주군,42781
칠곡군,113843
예천군,55809
봉화군,30807
울진군,47941
울릉군,8894
창원시,1033729
의창구,218234
성산구,252396
마산합포구,181146
마산회원구,187533
진해구,194420
진주시,347569
통영시,125744
사천시,110108
사천남양출장소,0
김해시,538682
장유출장소,0
밀양시,103667
거제시,241879
양산시,353783
양산시웅상출장소,0
의령군,26370
함안군,62788
창녕군,60102
고성군,50634
남해군,42372
하동군,43572
산청군,34416
함양군,38475
거창군,61242
합천군,43029
제주시,493225
서귀포시,183344
