No,시도,구군,평균,주관적 건강수준 인지율,인구 십만명당 정신건강증진기관 수,인구 천명당 의료기관 종사 의사수,건강생활실천율,인구 천명당 의료기관병상수
1,서울특별시,종로구,0.922,0.8424,0.6914,1,0.9697,0.7616
2,서울특별시,중구,0.6742,0.5772,0.4106,0.9995,0.9669,0.4043
3,서울특별시,용산구,0.5898,0.9819,0.3353,0.6046,0.9844,0.1433
4,서울특별시,성동구,0.4794,0.5465,0.3321,0.5783,0.9776,0.2111
5,서울특별시,광진구,0.6373,0.8534,0.7393,0.6352,0.8022,0.1936
6,서울특별시,동대문구,0.6024,0.2113,0.4476,0.8601,0.9438,0.6329
7,서울특별시,중랑구,0.5225,0.775,0.5212,0.4325,0.8506,0.2243
8,서울특별시,성북구,0.4177,0.5342,0.2942,0.5215,0.8552,0.2149
9,서울특별시,강북구,0.3987,0.4107,0.4917,0.3996,0.8529,0.1955
10,서울특별시,도봉구,0.4683,0.1812,0.9137,0.3673,0.8767,0.2662
11,서울특별시,노원구,0.4783,0.5093,0.3779,0.5734,0.969,0.212
12,서울특별시,은평구,0.3925,0.3457,0.5453,0.3705,0.8596,0.2064
13,서울특별시,서대문구,0.8437,0.9675,0.6825,0.9286,0.9972,0.4027
14,서울특별시,마포구,0.5414,0.9988,0.3412,0.4744,0.9638,0.0944
15,서울특별시,양천구,0.6074,0.8673,0.5084,0.5667,0.9912,0.1804
16,서울특별시,강서구,0.3309,0.1853,0.434,0.3931,0.9095,0.1804
17,서울특별시,구로구,0.5995,0.6991,0.5194,0.5899,0.9824,0.2943
18,서울특별시,금천구,0.4905,0.751,0.3282,0.4045,0.9379,0.2649
19,서울특별시,영등포구,0.7313,0.9498,0.2798,0.8384,0.9848,0.5147
20,서울특별시,동작구,0.336,0.1466,0.1594,0.6304,0.9638,0.2209
21,서울특별시,관악구,0.5065,0.9273,0.3574,0.3689,0.9415,0.1496
22,서울특별시,서초구,0.6763,0.9908,0.2416,0.9303,0.963,0.2404
23,서울특별시,강남구,0.6171,0.7359,0.1371,0.9998,0.7966,0.4802
24,서울특별시,송파구,0.6596,0.9996,0.1763,0.8224,0.9996,0.3071
25,서울특별시,강동구,0.715,0.9919,0.2997,0.7825,0.9832,0.4502
26,부산광역시,중구,0.8268,0.5218,0.6192,0.9511,0.8337,0.9909
27,부산광역시,서구,0.8836,0.4168,0.8876,1,0.821,0.9994
28,부산광역시,동구,0.6041,0.1022,0.2951,0.8728,0.8574,0.9746
29,부산광역시,영도구,0.4181,0.3748,0.4312,0.4029,0.7611,0.4515
30,부산광역시,부산진구,0.5989,0.7256,0.1676,0.81,0.7324,0.6474
31,부산광역시,동래구,0.7246,0.9159,0.289,0.5964,0.9492,0.7923
32,부산광역시,남구,0.4537,0.5894,0.1982,0.416,0.9341,0.4138
33,부산광역시,북구,0.4344,0.6311,0.1902,0.4193,0.7021,0.5383
34,부산광역시,해운대구,0.3278,0.1295,0.2018,0.575,0.6594,0.5253
35,부산광역시,사하구,0.361,0.1731,0.1782,0.4012,0.6846,0.7753
36,부산광역시,금정구,0.5716,0.6311,0.316,0.4309,0.7851,0.8197
37,부산광역시,강서구,0.07,0.2956,0.2183,0.2426,0.2722,0.1191
38,부산광역시,연제구,0.4166,0.1691,0.2507,0.5817,0.572,0.8423
39,부산광역시,수영구,0.561,0.3064,0.2912,0.5964,0.9302,0.82
40,부산광역시,사상구,0.5559,0.1614,0.4665,0.4409,0.9391,0.9176
41,부산광역시,기장군,0.3824,0.6601,0.1775,0.3657,0.6881,0.3992
42,대구광역시,중구,1,0.9987,0.6674,1,0.8846,0.9999
43,대구광역시,동구,0.3681,0.5218,0.3651,0.4542,0.5326,0.3646
44,대구광역시,서구,0.2596,0.1137,0.2792,0.4259,0.3312,0.6913
45,대구광역시,남구,0.8312,0.6428,0.9299,0.9681,0.473,0.9192
46,대구광역시,북구,0.2541,0.1691,0.2919,0.4193,0.4572,0.4839
47,대구광역시,수성구,0.4321,0.751,0.1521,0.4794,0.8362,0.254
48,대구광역시,달서구,0.3122,0.3748,0.2307,0.4409,0.5484,0.439
49,대구광역시,달성군,0.4013,0.6253,0.4121,0.3043,0.7124,0.3057
50,인천광역시,중구,0.5908,0.5711,0.2189,0.8495,0.7938,0.6202
51,인천광역시,동구,0.4211,0.0552,0.7847,0.4492,0.7763,0.3669
52,인천광역시,연수구,0.3239,0.5156,0.3705,0.3391,0.6881,0.1635
53,인천광역시,남동구,0.3139,0.3286,0.2042,0.5383,0.5524,0.4166
54,인천광역시,부평구,0.258,0.2204,0.2078,0.4526,0.6221,0.3326
55,인천광역시,계양구,0.4128,0.7607,0.2501,0.3963,0.5524,0.4426
56,인천광역시,서구,0.2295,0.2158,0.1375,0.3737,0.6775,0.3267
57,인천광역시,미추홀구,0.3222,0.1502,0.2503,0.3817,0.8619,0.4265
58,인천광역시,강화군,0.3468,0.0486,0.9972,0.3578,0.3204,0.4366
59,인천광역시,옹진군,0.1772,0.4107,0.0876,0.5283,0.3985,0.1149
60,광주광역시,동구,0.8355,0.2158,0.9506,1,0.7822,1
