No,시도,구군,삶의 만족도
1,서울특별시,종로구,0.4437
2,서울특별시,중구,0.4976
3,서울특별시,용산구,0.6161
4,서울특별시,성동구,0.4729
5,서울특별시,광진구,0.4041
6,서울특별시,동대문구,0.5842
7,서울특별시,중랑구,0.1058
8,서울특별시,성북구,0.6382
9,서울특별시,강북구,0.0461
10,서울특별시,도봉구,0.2171
11,서울특별시,노원구,0.624
12,서울특별시,은평구,0.3242
13,서울특별시,서대문구,0.605
14,서울특별시,마포구,0.6487
15,서울특별시,양천구,0.6845
16,서울특별시,강서구,0.3646
17,서울특별시,구로구,0.4386
18,서울특별시,금천구,0.1707
19,서울특별시,영등포구,0.6637
20,서울특별시,동작구,0.6413
21,서울특별시,관악구,0.2257
22,서울특별시,서초구,0.9259
23,서울특별시,강남구,0.7945
24,서울특별시,송파구,0.7575
25,서울특별시,강동구,0.3796
26,부산광역시,중구,0.0225
27,부산광역시,서구,0.3044
28,부산광역시,동구,0.0361
29,부산광역시,영도구,0.2273
30,부산광역시,부산진구,0.4239
31,부산광역시,동래구,0.6437
32,부산광역시,남구,0.5531
33,부산광역시,북구,0.3065
34,부산광역시,해운대구,0.6314
35,부산광역시,사하구,0.1104
36,부산광역시,금정구,0.5369
37,부산광역시,강서구,0.4799
38,부산광역시,연제구,0.6428
39,부산광역시,수영구,0.3467
40,부산광역시,사상구,0.0903
41,부산광역시,기장군,0.4374
42,대구광역시,중구,0.4445
43,대구광역시,동구,0.31
44,대구광역시,서구,0.0049
45,대구광역시,남구,0.0828
46,대구광역시,북구,0.3459
47,대구광역시,수성구,0.77
48,대구광역시,달서구,0.3832
49,대구광역시,달성군,0.5706
50,인천광역시,중구,0.3637
51,인천광역시,동구,0.3377
52,인천광역시,연수구,0.045
53,인천광역시,남동구,0.6497
54,인천광역시,부평구,0.2927
55,인천광역시,계양구,0.2794
56,인천광역시,서구,0.1531
57,인천광역시,미추홀구,0.3435
58,인천광역시,강화군,0.6697
59,인천광역시,옹진군,0.9803
60,광주광역시,동구,0.6127
61,광주광역시,서구,0.314
62,광주광역시,남구,0.5694
63,광주광역시,북구,0.4756
64,광주광역시,광산구,0.4507
65,대전광역시,동구,0.156
66,대전광역시,중구,0.2935
67,대전광역시,서구,0.5377
68,대전광역시,유성구,0.9046
69,대전광역시,대덕구,0.1461
70,울산광역시,중구,0.3973
71,울산광역시,남구,0.4764
72,울산광역시,동구,0.3986
73,울산광역시,북구,0.534
74,울산광역시,울주군,0.5536
75,세종특별자치시,세종시,0.9077
76,경기도,수원시,0.509
77,경기도,성남시,0.7403
78,경기도,의정부시,0.1031
79,경기도,안양시,0.6081
80,경기도,부천시,0.2592
81,경기도,광명시,0.5261
82,경기도,평택시,0.1617
83,경기도,동두천시,0.0158
84,경기도,안산시,0.1039
85,경기도,고양시,0.4211
86,경기도,과천시,0.9464
87,경기도,구리시,0.3452
88,경기도,남양주시,0.3529
89,경기도,오산시,0.1828
90,경기도,시흥시,0.2386
91,경기도,군포시,0.7367
92,경기도,의왕시,0.6721
93,경기도,하남시,0.7569
94,경기도,용인시,0.7721
95,경기도,파주시,0.3401
96,경기도,이천시,0.6505
97,경기도,안성시,0.123
98,경기도,김포시,0.4879
99,경기도,화성시,0.616
100,경기도,광주시,0.2806
101,경기도,양주시,0.1382
102,경기도,포천시,0.1591
103,경기도,여주시,0.2904
104,경기도,연천군,0.7871
105,경기도,가평군,0.0473
106,경기도,양평군,0.8345
107,강원도,춘천시,0.7609
108,강원도,원주시,0.4546
109,강원도,강릉시,0.7219
110,강원도,동해시,0.293
111,강원도,태백시,0.8928
112,강원도,속초시,0.3815
